Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",89.03,-1.1,-1.22%,90.12,88.66,513302,"13:49 ET"
AAL,"American Airlines Gp",27.75,0.43,+1.57%,27.92,26.04,13671774,"13:51 ET"
AAP,"Advance Auto Parts Inc",149.44,1.79,+1.21%,149.76,145.97,768274,"13:51 ET"
AAPL,"Apple Inc",318.79,1.09,+0.34%,318.88,315.65,13295865,"13:51 ET"
ABBV,"Abbvie Inc",85.23,-1.98,-2.27%,87.15,85.05,5731566,"13:51 ET"
ABC,"Amerisourcebergen Corp",91.5,-0.53,-0.58%,92.28,90.64,475451,"13:51 ET"
ABMD,"Abiomed Inc",183.47,-0.94999999999999,-0.52%,184.24,181.33,266742,"13:51 ET"
ABT,"Abbott Laboratories",90.62,-1.24,-1.35%,91.89,90.27,2579922,"13:51 ET"
ACN,"Accenture Plc",210.37,0.96000000000001,+0.46%,210.38,208.87,1251623,"13:51 ET"
ADBE,"Adobe Systems Inc",350.52,0.45999999999998,+0.13%,352.08,347.85,847968,"13:51 ET"
ADI,"Analog Devices",120.71,0.28999999999999,+0.24%,121.07,118.85,1059935,"13:50 ET"
ADM,"Archer Daniels Midland",44.89,-0.039999999999999,-0.09%,44.9,44.51,547522,"13:50 ET"
ADP,"Automatic Data Procs",177.63,-0.70000000000002,-0.39%,178.46,177.01,372306,"13:51 ET"
ADS,"Alliance Data Systems Corp",111.14,-0.48,-0.43%,111.44,108.23,304608,"13:50 ET"
ADSK,"Autodesk Inc",196.34,1.61,+0.83%,197.1,193.76,584377,"13:51 ET"
AEE,"Ameren Corp",80.02,0.11,+0.14%,80.34,79.69,470146,"13:51 ET"
AEP,"American Electric Power Company",100.52,0.52,+0.52%,100.72,100.01,887642,"13:51 ET"
AES,"The Aes Corp",20.42,0.020000000000003,+0.10%,20.52,20.31,1314742,"13:51 ET"
AFL,"Aflac Incorporated",52.43,-0.1,-0.19%,52.44,51.92,1513249,"13:51 ET"
AGN,"Allergan Plc",190.25,-1.41,-0.74%,191.43,190.02,1190142,"13:51 ET"
AIG,"American International Group",51.82,-0.44,-0.84%,51.94,51.25,1524991,"13:51 ET"
